State,Project/​Location,Coordinates,Nameplate capacity (MWac),"DC Capacity
(MWp)[41]",Voltage (kV),Commissioning,LGA,Company,Notes
VIC,Glenrowan West Solar Farm,36°29′13″S 146°08′38″E﻿ / ﻿36.486943°S 146.143921°E﻿ / -36.486943; 146.143921﻿ (Glenrowan West),,149,,2020 December,Rural City of Benalla,Wirtgen Invest,"Photovoltaic, single-axis tracking. 373, 248 solar modules, 323 hectares, beside and to the south of the Hume Highway mid-way between Benalla and Glenrowan, 2km east of the Winton Motor Raceway.[42][43]"
NSW,Limondale Solar Farm,34°46′47″S 143°30′35″E﻿ / ﻿34.779758°S 143.509738°E﻿ / -34.779758; 143.509738﻿ (Limondale),313,349,220,2020 January,Balranald Shire,Innogy,"Photovoltaic, single-axis tracking."
NSW,Darlington Point Solar Farm,34°38′58″S 146°02′48″E﻿ / ﻿34.6494°S 146.04662°E﻿ / -34.6494; 146.04662﻿ (Darlington Point),275,333,330,2020 November,Murrumbidgee,Octopus Investments and Edify Energy,"Photovoltaic, single-axis tracking. 333.0 MW DC.[44] Originated by Solar Choice[45]"
SA,Bungala Solar Power Farm,32°25′S 137°50′E﻿ / ﻿32.42°S 137.84°E﻿ / -32.42; 137.84﻿ (Bungala),220,276,132[46],2018 May,Port Augusta,Reach Energy,"Photovoltaic, single-axis tracking."
NSW,Sunraysia Solar Farm,34°48′01″S 143°30′16″E﻿ / ﻿34.80041°S 143.50436°E﻿ / -34.80041; 143.50436﻿ (Sunraysia),200,228,220,2020 November,Balranald Shire,John Laing Group,"Photovoltaic, single-axis tracking."
NSW,Wellington Solar Farm,32°31′11″S 148°57′25″E﻿ / ﻿32.5196°S 148.95696°E﻿ / -32.5196; 148.95696﻿ (Wellington),174,213,132,2020 November,Dubbo Regional Council,BP Lightsource,"Photovoltaic, single-axis tracking."
QLD,Daydream Solar Farm[47],20°30′46″S 147°41′31″E﻿ / ﻿20.512804°S 147.691968°E﻿ / -20.512804; 147.691968﻿ (Daydream),168,180,,2018 October,Whitsunday Region,Edify Energy,"Photovoltaic, single-axis tracking. Originated by Solar Choice[48]"
NSW,Suntop Solar Farm,32°34′23″S 148°49′48″E﻿ / ﻿32.573°S 148.830°E﻿ / -32.573; 148.830,150[49],189[50],,2021 August,Dubbo Regional Council,Canadian Solar,"Bi-facial mono PERC Photovoltaic, single axis tracking.[50]"
NSW,Coleambally Solar Farm[51],34°45′34″S 145°55′47″E﻿ / ﻿34.759494°S 145.929840°E﻿ / -34.759494; 145.929840﻿ (Coleambally),150,188,132[51],2018 September,Murrumbidgee,Neoen,"Photovoltaic, single-axis tracking.[52]"
NSW,Finley Solar Farm,35°37′54″S 145°29′58″E﻿ / ﻿35.631794°S 145.499345°E﻿ / -35.631794; 145.499345﻿ (Finley),133,175,132[53],2019 August,Berrigan Shire,John Laing Group,"Photovoltaic, single-axis tracking."
QLD,Sun Metals Solar Farm[54],19°26′14″S 146°41′46″E﻿ / ﻿19.437318°S 146.696015°E﻿ / -19.437318; 146.696015﻿ (Sun Metals),124,151,33[55],2018 May,Townsville,Sun Metals,"Thin-film, single axis tracking.[56][57]"
QLD,Ross River Solar Farm[58],19°25′31″S 146°42′56″E﻿ / ﻿19.425305°S 146.715686°E﻿ / -19.425305; 146.715686﻿ (Ross River),116[59],148,132[60],2018 September,Townsville,"ESCO Pacific, Palisade","Photovoltaic, single-axis tracking."
NSW,Gunnedah Solar Farm,30°57′57″S 150°22′04″E﻿ / ﻿30.9658°S 150.3679°E﻿ / -30.9658; 150.3679,110[61],153[62],,2021 July,Gunnedah Shire,Canadian Solar,"Bi-facial photovoltaic, single axis tracking.[62]"
VIC,Glenrowan West Solar Farm,36°29′13″S 146°08′38″E﻿ / ﻿36.486943°S 146.143921°E﻿ / -36.486943; 146.143921[63],110,149,,2021 June,Rural City of Benalla,"Wirtgen Group, Wirsol","Mono-crystalline photovoltaic, single axis tracking.[64]"
QLD,Darling Downs Solar Farm,27°06′43″S 150°52′55″E﻿ / ﻿27.1120°S 150.8819°E﻿ / -27.1120; 150.8819﻿ (Darling Downs),110,137,33[65],2018 May–September[66],Western Downs Regional Council,APA Group,Output sold to Origin Energy who also owns the adjacent Darling Downs Power Station
SA,Tailem Bend Solar Power Farm,35°17′S 139°29′E﻿ / ﻿35.28°S 139.49°E﻿ / -35.28; 139.49﻿ (Tailem Bend),108[67],127,,2019 March,Coorong District Council,Vena Energy,"Photovoltaic, fixed tilt. Limited by market operator AEMO to 95 MW maximum output to ensure reactive power delivery.[68]"
NSW,Nevertire Solar Farm,31°49′52″S 147°42′11″E﻿ / ﻿31.8310392°S 147.7029891°E﻿ / -31.8310392; 147.7029891﻿ (Nevertire),105,130,,2019 December,Warren Shire,Elliott Green Power,
NSW,Nyngan Solar Plant,31°33′23″S 147°04′53″E﻿ / ﻿31.5563°S 147.08152°E﻿ / -31.5563; 147.08152﻿ (Nyngan),102,,,2015 June,Bogan Shire,AGL Energy,"CdTe thin-film technology. At the time of its construction, it was the largest solar PV plant in the Southern Hemisphere. Capacity: 102 MWAC.[69][70][71][72]"
WA,Merredin Solar Farm,31°32′44″S 118°13′40″E﻿ / ﻿31.545488°S 118.227825°E﻿ / -31.545488; 118.227825,100,132[73],220,2020 July,Shire of Merredin,Risen Energy,"Mono-crystalline PERC photovoltaic, single-axis tracking.[74]"
NSW,Bomen Solar Farm,35°03′12″S 147°26′21″E﻿ / ﻿35.053333°S 147.439272°E﻿ / -35.053333; 147.439272,100,120,110,2020 June,City of Wagga Wagga,Spark Infrastructure,"Bi-facial photovoltaic, single axis tracking.[75][76] 100 MW AC. 120 MW DC."
QLD,Yarranlea Solar Farm,27°42′46″S 151°32′02″E﻿ / ﻿27.712820°S 151.533819°E﻿ / -27.712820; 151.533819﻿ (Yarranlea),100,121.5[77],110,2020 January,Toowoomba Region,Risen Energy,"Photovoltaic, single axis tracking.[78] 100 MW AC. 121.5 MW DC."
VIC,Numurkah Solar Farm,36°09′35″S 145°28′38″E﻿ / ﻿36.159745°S 145.477264°E﻿ / -36.159745; 145.477264﻿ (Numurkah),100,128,,2019 May,Shire of Moira,Neoen,"Photovoltaic, single axis tracking.[79]"
QLD,Haughton Solar Farm,19°46′02″S 147°02′06″E﻿ / ﻿19.767133°S 147.035032°E﻿ / -19.767133; 147.035032﻿ (Haughton),100,,,2019 May,Shire of Burdekin,Pacific Hydro,Photovoltaic single-axis tracking.
QLD,Lilyvale Solar Farm[80],23°04′14″S 148°24′50″E﻿ / ﻿23.070504°S 148.413865°E﻿ / -23.070504; 148.413865﻿ (Lilyvale),100,126,,2019 March,Central Highlands,Fotowatio Renewable Ventures (FRV),"Photovoltaic, single-axis tracking.[81]"
QLD,Clare Solar Farm[82],19°50′23″S 147°12′38″E﻿ / ﻿19.839770°S 147.210550°E﻿ / -19.839770; 147.210550﻿ (Clare),100[83],127,33,2018 May[84],Shire of Burdekin,Fotowatio Renewable Ventures (FRV),"Photovoltaic, single-axis tracking.[85]"
NSW,Metz Solar Farm,"30.523477°S
151.869239°E",115,141.1,132,2022 September,City of Armidale,Fotowatio Renewable Ventures (FRV),"Photovoltaic, single-axis tracking."
